event-id,visible,timestamp,location-long,location-lat,behavioural-classification,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1715831,true,2003-04-13 09:53:00.000,-54.4543659240875,-25.68529236873,"sleep","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715832,true,2003-04-13 09:53:30.000,-54.4544268475944,-25.6851862286614,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715833,true,2003-04-13 09:54:00.000,-54.4543687703708,-25.6851585287047,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715834,true,2003-04-13 09:54:30.000,-54.4542517618589,-25.6851432915576,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715835,true,2003-04-13 09:55:00.000,-54.4541767465822,-25.6852224454349,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715836,true,2003-04-13 09:55:30.000,-54.4541034384282,-25.6852212826198,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715837,true,2003-04-13 09:56:00.000,-54.4540910540284,-25.6851139798587,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715838,true,2003-04-13 09:56:30.000,-54.4540933313226,-25.6850069060546,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715839,true,2003-04-13 09:57:00.000,-54.454183292704,-25.6849146025719,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715840,true,2003-04-13 09:57:30.000,-54.4541990928694,-25.6848612991215,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715841,true,2003-04-13 09:58:00.000,-54.4542738241693,-25.6847955328391,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715842,true,2003-04-13 09:58:30.000,-54.4543491245968,-25.6847030003093,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715843,true,2003-04-13 09:59:00.000,-54.4543652091593,-25.684636318241,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715844,true,2003-04-13 09:59:30.000,-54.4542924705733,-25.6846083893463,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715845,true,2003-04-13 10:00:00.000,-54.4541605164493,-25.6846063018213,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715846,true,2003-04-13 10:00:30.000,-54.4541585237859,-25.6846999970482,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715847,true,2003-04-13 10:01:00.000,-54.4541723314605,-25.6847403798039,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715848,true,2003-04-13 10:01:30.000,-54.4542600164549,-25.6847551500903,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715849,true,2003-04-13 10:02:00.000,-54.4544060632085,-25.6847842326651,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715850,true,2003-04-13 10:02:30.000,-54.4544647086504,-25.6847851573521,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715851,true,2003-04-13 10:03:00.000,-54.4545681935223,-25.684746632984,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715852,true,2003-04-13 10:04:00.000,-54.4545699011942,-25.684666325342,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715853,true,2003-04-13 10:06:00.000,-54.4545132471946,-25.6845717054311,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715854,true,2003-04-13 10:07:00.000,-54.4543666322622,-25.6845693982227,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715855,true,2003-04-13 10:09:00.000,-54.4543091245548,-25.6845149320614,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715856,true,2003-04-13 11:00:00.000,-54.4543982314938,-25.6844627822163,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715857,true,2003-04-13 11:01:00.000,-54.454487623843,-25.6843972537353,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
1715858,true,2003-04-13 11:02:00.000,-54.4544295469693,-25.684369553828,"","radio-transmitter","Nasua nasua","#433450","PSG","South American Coati, Nasua nasua, Argentina, Hirsch Ph.D. work"
